year,month,casual,registered,cnt
2011,1,3073,35116,38189
2011,2,6242,41973,48215
2011,3,12826,51219,64045
2011,4,22346,72524,94870
2011,5,31050,104771,135821
2011,6,30612,112900,143512
2011,7,36452,104889,141341
2011,8,28842,107849,136691
2011,9,26545,100873,127418
2011,10,25222,98289,123511
2011,11,15594,86573,102167
2011,12,8448,78875,87323
2012,1,8969,87775,96744
2012,2,8721,94416,103137
2012,3,31618,133257,164875
2012,4,38456,135768,174224
2012,5,44235,151630,195865
2012,6,43294,159536,202830
2012,7,41705,161902,203607
2012,8,43197,171306,214503
2012,9,43778,174795,218573
2012,10,34538,164303,198841
2012,11,21009,131655,152664
2012,12,13245,110468,123713
